,slice_file_name,fsID,start,end,salience,fold,classID,class
9,100648-1-0-0.wav,100648,4.823402,5.471927,2,10,1,car_horn
10,100648-1-1-0.wav,100648,8.998279,10.052132,2,10,1,car_horn
11,100648-1-2-0.wav,100648,16.699509,17.104837,2,10,1,car_horn
12,100648-1-3-0.wav,100648,17.631764,19.253075,2,10,1,car_horn
13,100648-1-4-0.wav,100648,25.332994,27.197502000000004,2,10,1,car_horn
106,102305-6-0-0.wav,102305,0.0,2.6116099999999998,1,1,6,gun_shot
114,102853-8-0-0.wav,102853,0.0,4.0,2,7,8,siren
115,102853-8-0-1.wav,102853,0.5,4.5,2,7,8,siren
116,102853-8-0-2.wav,102853,1.0,5.0,2,7,8,siren
117,102853-8-0-3.wav,102853,1.5,5.5,2,7,8,siren
118,102853-8-0-4.wav,102853,2.0,6.0,2,7,8,siren
119,102853-8-0-5.wav,102853,2.5,6.5,2,7,8,siren
120,102853-8-0-6.wav,102853,3.0,7.0,2,7,8,siren
121,102853-8-1-0.wav,102853,27.214044,31.214044,2,7,8,siren
122,102857-5-0-0.wav,102857,0.0,4.0,1,10,5,engine_idling
123,102857-5-0-1.wav,102857,0.5,4.5,1,10,5,engine_idling
124,102857-5-0-10.wav,102857,5.0,9.0,1,10,5,engine_idling
125,102857-5-0-11.wav,102857,5.5,9.5,1,10,5,engine_idling
126,102857-5-0-12.wav,102857,6.0,10.0,1,10,5,engine_idling
127,102857-5-0-13.wav,102857,6.5,10.5,1,10,5,engine_idling
128,102857-5-0-14.wav,102857,7.0,11.0,1,10,5,engine_idling
129,102857-5-0-15.wav,102857,7.5,11.5,1,10,5,engine_idling
130,102857-5-0-16.wav,102857,8.0,12.0,1,10,5,engine_idling
131,102857-5-0-17.wav,102857,8.5,12.5,1,10,5,engine_idling
132,102857-5-0-18.wav,102857,9.0,13.0,1,10,5,engine_idling
133,102857-5-0-19.wav,102857,9.5,13.5,1,10,5,engine_idling
134,102857-5-0-2.wav,102857,1.0,5.0,1,10,5,engine_idling
135,102857-5-0-20.wav,102857,10.0,14.0,1,10,5,engine_idling
136,102857-5-0-21.wav,102857,10.5,14.5,1,10,5,engine_idling
137,102857-5-0-22.wav,102857,11.0,15.0,1,10,5,engine_idling
138,102857-5-0-23.wav,102857,11.5,15.5,1,10,5,engine_idling
139,102857-5-0-24.wav,102857,12.0,16.0,1,10,5,engine_idling
140,102857-5-0-25.wav,102857,12.5,16.5,1,10,5,engine_idling
141,102857-5-0-26.wav,102857,13.0,17.0,1,10,5,engine_idling
142,102857-5-0-27.wav,102857,13.5,17.5,1,10,5,engine_idling
143,102857-5-0-28.wav,102857,14.0,18.0,1,10,5,engine_idling
144,102857-5-0-29.wav,102857,14.5,18.5,1,10,5,engine_idling
145,102857-5-0-3.wav,102857,1.5,5.5,1,10,5,engine_idling
146,102857-5-0-30.wav,102857,15.0,19.0,1,10,5,engine_idling
147,102857-5-0-4.wav,102857,2.0,6.0,1,10,5,engine_idling
148,102857-5-0-5.wav,102857,2.5,6.5,1,10,5,engine_idling
149,102857-5-0-6.wav,102857,3.0,7.0,1,10,5,engine_idling
150,102857-5-0-7.wav,102857,3.5,7.5,1,10,5,engine_idling
151,102857-5-0-8.wav,102857,4.0,8.0,1,10,5,engine_idling
152,102857-5-0-9.wav,102857,4.5,8.5,1,10,5,engine_idling
153,102858-5-0-0.wav,102858,0.0,4.0,1,2,5,engine_idling
154,102858-5-0-1.wav,102858,0.5,4.5,1,2,5,engine_idling
155,102871-8-0-0.wav,102871,0.0,4.0,1,2,8,siren
156,102871-8-0-1.wav,102871,0.5,4.5,1,2,8,siren
157,102871-8-0-10.wav,102871,5.0,9.0,1,2,8,siren
158,102871-8-0-11.wav,102871,5.5,9.5,1,2,8,siren
159,102871-8-0-12.wav,102871,6.0,10.0,1,2,8,siren
160,102871-8-0-13.wav,102871,6.5,10.5,1,2,8,siren
161,102871-8-0-14.wav,102871,7.0,11.0,1,2,8,siren
162,102871-8-0-15.wav,102871,7.5,11.5,1,2,8,siren
163,102871-8-0-2.wav,102871,1.0,5.0,1,2,8,siren
164,102871-8-0-3.wav,102871,1.5,5.5,1,2,8,siren
165,102871-8-0-4.wav,102871,2.0,6.0,1,2,8,siren
166,102871-8-0-5.wav,102871,2.5,6.5,1,2,8,siren
167,102871-8-0-6.wav,102871,3.0,7.0,1,2,8,siren
168,102871-8-0-7.wav,102871,3.5,7.5,1,2,8,siren
169,102871-8-0-8.wav,102871,4.0,8.0,1,2,8,siren
170,102871-8-0-9.wav,102871,4.5,8.5,1,2,8,siren
217,103249-5-0-0.wav,103249,0.0,4.0,1,9,5,engine_idling
218,103249-5-0-1.wav,103249,0.5,4.5,1,9,5,engine_idling
219,103249-5-0-10.wav,103249,5.0,9.0,1,9,5,engine_idling
220,103249-5-0-11.wav,103249,5.5,9.5,1,9,5,engine_idling
221,103249-5-0-12.wav,103249,6.0,10.0,1,9,5,engine_idling
222,103249-5-0-13.wav,103249,6.5,10.5,1,9,5,engine_idling
223,103249-5-0-14.wav,103249,7.0,11.0,1,9,5,engine_idling
224,103249-5-0-15.wav,103249,7.5,11.5,1,9,5,engine_idling
225,103249-5-0-16.wav,103249,8.0,12.0,1,9,5,engine_idling
226,103249-5-0-17.wav,103249,8.5,12.5,1,9,5,engine_idling
227,103249-5-0-18.wav,103249,9.0,13.0,1,9,5,engine_idling
228,103249-5-0-19.wav,103249,9.5,13.5,1,9,5,engine_idling
229,103249-5-0-2.wav,103249,1.0,5.0,1,9,5,engine_idling
230,103249-5-0-3.wav,103249,1.5,5.5,1,9,5,engine_idling
231,103249-5-0-4.wav,103249,2.0,6.0,1,9,5,engine_idling
232,103249-5-0-5.wav,103249,2.5,6.5,1,9,5,engine_idling
233,103249-5-0-6.wav,103249,3.0,7.0,1,9,5,engine_idling
234,103249-5-0-7.wav,103249,3.5,7.5,1,9,5,engine_idling
235,103249-5-0-8.wav,103249,4.0,8.0,1,9,5,engine_idling
236,103249-5-0-9.wav,103249,4.5,8.5,1,9,5,engine_idling
237,103258-5-0-0.wav,103258,0.0,4.0,1,1,5,engine_idling
238,103258-5-0-1.wav,103258,0.5,4.5,1,1,5,engine_idling
239,103258-5-0-10.wav,103258,5.0,9.0,1,1,5,engine_idling
240,103258-5-0-11.wav,103258,5.5,9.5,1,1,5,engine_idling
241,103258-5-0-12.wav,103258,6.0,10.0,1,1,5,engine_idling
242,103258-5-0-13.wav,103258,6.5,10.5,1,1,5,engine_idling
243,103258-5-0-14.wav,103258,7.0,11.0,1,1,5,engine_idling
244,103258-5-0-15.wav,103258,7.5,11.5,1,1,5,engine_idling
245,103258-5-0-16.wav,103258,8.0,12.0,1,1,5,engine_idling
246,103258-5-0-17.wav,103258,8.5,12.5,1,1,5,engine_idling
247,103258-5-0-18.wav,103258,9.0,13.0,1,1,5,engine_idling
248,103258-5-0-19.wav,103258,9.5,13.5,1,1,5,engine_idling
249,103258-5-0-2.wav,103258,1.0,5.0,1,1,5,engine_idling
250,103258-5-0-3.wav,103258,1.5,5.5,1,1,5,engine_idling
251,103258-5-0-4.wav,103258,2.0,6.0,1,1,5,engine_idling
252,103258-5-0-5.wav,103258,2.5,6.5,1,1,5,engine_idling
253,103258-5-0-6.wav,103258,3.0,7.0,1,1,5,engine_idling
254,103258-5-0-7.wav,103258,3.5,7.5,1,1,5,engine_idling
255,103258-5-0-8.wav,103258,4.0,8.0,1,1,5,engine_idling
256,103258-5-0-9.wav,103258,4.5,8.5,1,1,5,engine_idling
259,103438-5-0-0.wav,103438,0.0,4.0,2,10,5,engine_idling
260,103438-5-0-1.wav,103438,0.5,4.5,2,10,5,engine_idling
261,103438-5-0-2.wav,103438,1.0,5.0,2,10,5,engine_idling
421,105289-8-0-0.wav,105289,26.315540000000002,30.315540000000002,2,7,8,siren
422,105289-8-0-1.wav,105289,26.815540000000002,30.815540000000002,2,7,8,siren
423,105289-8-0-2.wav,105289,27.315540000000002,31.315540000000002,2,7,8,siren
424,105289-8-0-3.wav,105289,27.815540000000002,31.815540000000002,2,7,8,siren
425,105289-8-0-4.wav,105289,28.315540000000002,32.315540000000006,2,7,8,siren
426,105289-8-0-5.wav,105289,28.815540000000002,32.815540000000006,2,7,8,siren
427,105289-8-1-0.wav,105289,40.426771,44.426771,1,7,8,siren
428,105289-8-1-1.wav,105289,40.926771,44.926771,1,7,8,siren
429,105289-8-1-2.wav,105289,41.426771,45.426771,1,7,8,siren
430,105289-8-1-3.wav,105289,41.926771,45.926771,1,7,8,siren
431,105289-8-1-4.wav,105289,42.426771,46.426771,1,7,8,siren
432,105289-8-2-0.wav,105289,53.012464,57.012464,2,7,8,siren
433,105289-8-2-1.wav,105289,53.512464,57.512464,2,7,8,siren
434,105289-8-2-2.wav,105289,54.012464,58.012464,2,7,8,siren
435,105289-8-2-3.wav,105289,54.512464,58.512464,2,7,8,siren
436,105289-8-2-4.wav,105289,55.012464,59.012464,2,7,8,siren
437,105289-8-2-5.wav,105289,55.512464,59.512464,2,7,8,siren
438,105289-8-2-6.wav,105289,56.012464,60.012464,2,7,8,siren
439,105289-8-2-7.wav,105289,56.512464,60.512464,2,7,8,siren
457,106014-5-0-0.wav,106014,4.4009540000000005,8.400953999999999,1,10,5,engine_idling
458,106014-5-0-1.wav,106014,4.9009540000000005,8.900953999999999,1,10,5,engine_idling
459,106014-5-0-2.wav,106014,5.4009540000000005,9.400953999999999,1,10,5,engine_idling
460,106014-5-0-3.wav,106014,5.9009540000000005,9.900953999999999,1,10,5,engine_idling
461,106014-5-0-4.wav,106014,6.4009540000000005,10.400953999999999,1,10,5,engine_idling
462,106015-5-0-0.wav,106015,3.484984,7.484984,1,2,5,engine_idling
463,106015-5-0-1.wav,106015,3.984984,7.984984,1,2,5,engine_idling
464,106015-5-0-10.wav,106015,8.484983999999999,12.484983999999999,1,2,5,engine_idling
465,106015-5-0-11.wav,106015,8.984983999999999,12.984983999999999,1,2,5,engine_idling
466,106015-5-0-12.wav,106015,9.484983999999999,13.484983999999999,1,2,5,engine_idling
467,106015-5-0-13.wav,106015,9.984983999999999,13.984983999999999,1,2,5,engine_idling
468,106015-5-0-14.wav,106015,10.484983999999999,14.484983999999999,1,2,5,engine_idling
469,106015-5-0-15.wav,106015,10.984983999999999,14.984983999999999,1,2,5,engine_idling
470,106015-5-0-16.wav,106015,11.484983999999999,15.484983999999999,1,2,5,engine_idling
471,106015-5-0-17.wav,106015,11.984983999999999,15.984983999999999,1,2,5,engine_idling
472,106015-5-0-18.wav,106015,12.484983999999999,16.484984,1,2,5,engine_idling
473,106015-5-0-19.wav,106015,12.984983999999999,16.984984,1,2,5,engine_idling
474,106015-5-0-2.wav,106015,4.484984,8.484983999999999,1,2,5,engine_idling
475,106015-5-0-20.wav,106015,13.484983999999999,17.484984,1,2,5,engine_idling
476,106015-5-0-3.wav,106015,4.984984,8.984983999999999,1,2,5,engine_idling
477,106015-5-0-4.wav,106015,5.484984,9.484983999999999,1,2,5,engine_idling
478,106015-5-0-5.wav,106015,5.984984,9.984983999999999,1,2,5,engine_idling
479,106015-5-0-6.wav,106015,6.484984,10.484983999999999,1,2,5,engine_idling
480,106015-5-0-7.wav,106015,6.984984,10.984983999999999,1,2,5,engine_idling
481,106015-5-0-8.wav,106015,7.484984,11.484983999999999,1,2,5,engine_idling
482,106015-5-0-9.wav,106015,7.984984,11.984983999999999,1,2,5,engine_idling
483,106486-5-0-0.wav,106486,0.0,4.0,1,6,5,engine_idling
484,106486-5-0-1.wav,106486,0.5,4.5,1,6,5,engine_idling
485,106486-5-0-2.wav,106486,1.0,5.0,1,6,5,engine_idling
486,106487-5-0-0.wav,106487,0.0,4.0,1,5,5,engine_idling
487,106487-5-0-1.wav,106487,0.5,4.5,1,5,5,engine_idling
488,106487-5-0-2.wav,106487,1.0,5.0,1,5,5,engine_idling
489,106905-5-0-0.wav,106905,55.008446,59.008446,2,8,5,engine_idling
490,106905-5-0-1.wav,106905,55.508446,59.508446,2,8,5,engine_idling
491,106905-5-0-2.wav,106905,56.008446,60.008446,2,8,5,engine_idling
492,106905-8-0-0.wav,106905,43.636489000000005,47.636489000000005,2,1,8,siren
493,106905-8-0-1.wav,106905,44.136489000000005,48.136489000000005,2,1,8,siren
